# emoji	group	subgroup	name	keywords
♋	Symbols	zodiac	Cancer	cancer,crab,horoscope,zodiac
♌	Symbols	zodiac	Leo	leo,horoscope,lion,zodiac
♍	Symbols	zodiac	Virgo	virgo,horoscope,zodiac
♎	Symbols	zodiac	Libra	libra,balance,horoscope,justice,scales,zodiac
♏	Symbols	zodiac	Scorpio	scorpio,horoscope,scorpion,scorpius,zodiac
♐	Symbols	zodiac	Sagittarius	sagittarius,archer,horoscope,zodiac
♑	Symbols	zodiac	Capricorn	capricorn,goat,horoscope,zodiac
♒	Symbols	zodiac	Aquarius	aquarius,bearer,horoscope,water,zodiac
♓	Symbols	zodiac	Pisces	pisces,fish,horoscope,zodiac
⛎	Symbols	zodiac	Ophiuchus	ophiuchus,bearer,serpent,snake,zodiac
🔀	Symbols	av-symbol	shuffle tracks button	shuffle tracks button,arrow,button,crossed,shuffle,tracks
🔁	Symbols	av-symbol	repeat button	repeat button,arrow,button,clockwise,repeat
🔂	Symbols	av-symbol	repeat single button	repeat single button,arrow,button,clockwise,once,repeat,single
▶️	Symbols	av-symbol	play button	play button
⏩	Symbols	av-symbol	fast-forward button	fast-forward button,arrow,button,double,fast,fast-forward,forward
⏭️	Symbols	av-symbol	next track button	next track button
⏯️	Symbols	av-symbol	play or pause button	play or pause button
◀️	Symbols	av-symbol	reverse button	reverse button
⏪	Symbols	av-symbol	fast reverse button	fast reverse button,arrow,button,double,fast,reverse,rewind
⏮️	Symbols	av-symbol	last track button	last track button
🔼	Symbols	av-symbol	upwards button	upwards button,arrow,button,red,up,upwards
⏫	Symbols	av-symbol	fast up button	fast up button,arrow,button,double,fast,up
🔽	Symbols	av-symbol	downwards button	downwards button,arrow,button,down,downwards,red
⏬	Symbols	av-symbol	fast down button	fast down button,arrow,button,double,down,fast
⏸️	Symbols	av-symbol	pause button	pause button
⏹️	Symbols	av-symbol	stop button	stop button
⏺️	Symbols	av-symbol	record button	record button
⏏️	Symbols	av-symbol	eject button	eject button
🎦	Symbols	av-symbol	cinema	cinema,camera,film,movie
🔅	Symbols	av-symbol	dim button	dim button,brightness,button,dim,low
🔆	Symbols	av-symbol	bright button	bright button,bright,brightness,button,light
📶	Symbols	av-symbol	antenna bars	antenna bars,antenna,bar,bars,cell,communication,mobile,phone,signal,telephone
🛜	Symbols	av-symbol	wireless	wireless,broadband,computer,connectivity,hotspot,internet,network,router,smartphone,wi-fi,wifi,wlan
📳	Symbols	av-symbol	vibration mode	vibration mode,cell,communication,mobile,mode,phone,telephone,vibration
📴	Symbols	av-symbol	mobile phone off	mobile phone off,cell,mobile,off,phone,telephone
♀️	Symbols	gender	female sign	female sign
♂️	Symbols	gender	male sign	male sign
⚧️	Symbols	gender	transgender symbol	transgender symbol
✖️	Symbols	math	multiply	multiply
➕	Symbols	math	plus	plus,+
➖	Symbols	math	minus	minus,-,−,heavy,math,sign
➗	Symbols	math	divide	divide,÷,division,heavy,math,sign
🟰	Symbols	math	heavy equals sign	heavy equals sign,answer,equal,equality,equals,heavy,math,sign
♾️	Symbols	math	infinity	infinity
‼️	Symbols	punctuation	double exclamation mark	double exclamation mark
⁉️	Symbols	punctuation	exclamation question mark	exclamation question mark
❓	Symbols	punctuation	red question mark	red question mark,?,mark,punctuation,question,red
❔	Symbols	punctuation	white question mark	white question mark,?,mark,outlined,punctuation,question,white
❕	Symbols	punctuation	white exclamation mark	white exclamation mark,!,exclamation,mark,outlined,punctuation,white
❗	Symbols	punctuation	red exclamation mark	red exclamation mark,!,exclamation,mark,punctuation,red
〰️	Symbols	punctuation	wavy dash	wavy dash
💱	Symbols	currency	currency exchange	currency exchange,bank,currency,exchange,money
💲	Symbols	currency	heavy dollar sign	heavy dollar sign,billion,cash,charge,currency,dollar,heavy,million,money,pay,sign
⚕️	Symbols	other-symbol	medical symbol	medical symbol
♻️	Symbols	other-symbol	recycling symbol	recycling symbol
⚜️	Symbols	other-symbol	fleur-de-lis	fleur-de-lis
🔱	Symbols	other-symbol	trident emblem	trident emblem,anchor,emblem,poseidon,ship,tool,trident
📛	Symbols	other-symbol	name badge	name badge,badge,name
🔰	Symbols	other-symbol	Japanese symbol for beginner	japanese symbol for beginner,beginner,chevron,green,japanese,leaf,symbol,tool,yellow
⭕	Symbols	other-symbol	hollow red circle	hollow red circle,circle,heavy,hollow,large,o,red
✅	Symbols	other-symbol	check mark button	check mark button,✓,button,check,checked,checkmark,complete,completed,done,fixed,mark,tick
☑️	Symbols	other-symbol	check box with check	check box with check
✔️	Symbols	other-symbol	check mark	check mark
❌	Symbols	other-symbol	cross mark	cross mark,×,cancel,cross,mark,multiplication,multiply,x
❎	Symbols	other-symbol	cross mark button	cross mark button,×,button,cross,mark,multiplication,multiply,square,x
➰	Symbols	other-symbol	curly loop	curly loop,curl,curly,loop
➿	Symbols	other-symbol	double curly loop	double curly loop,curl,curly,double,loop
〽️	Symbols	other-symbol	part alternation mark	part alternation mark
✳️	Symbols	other-symbol	eight-spoked asterisk	eight-spoked asterisk
✴️	Symbols	other-symbol	eight-pointed star	eight-pointed star
❇️	Symbols	other-symbol	sparkle	sparkle
©️	Symbols	other-symbol	copyright	copyright
®️	Symbols	other-symbol	registered	registered
™️	Symbols	other-symbol	trade mark	trade mark
🫟	Symbols	other-symbol	splatter	splatter,drip,holi,ink,liquid,mess,paint,spill,stain
#️⃣	Symbols	keycap	keycap: #	keycap: #
*️⃣	Symbols	keycap	keycap: *	keycap: *
0️⃣	Symbols	keycap	keycap: 0	keycap: 0
1️⃣	Symbols	keycap	keycap: 1	keycap: 1
2️⃣	Symbols	keycap	keycap: 2	keycap: 2
3️⃣	Symbols	keycap	keycap: 3	keycap: 3
4️⃣	Symbols	keycap	keycap: 4	keycap: 4
5️⃣	Symbols	keycap	keycap: 5	keycap: 5
6️⃣	Symbols	keycap	keycap: 6	keycap: 6
7️⃣	Symbols	keycap	keycap: 7	keycap: 7
8️⃣	Symbols	keycap	keycap: 8	keycap: 8
9️⃣	Symbols	keycap	keycap: 9	keycap: 9
🔟	Symbols	keycap	keycap: 10	keycap: 10
🔠	Symbols	alphanum	input latin uppercase	input latin uppercase,abcd,input,latin,letters,uppercase
🔡	Symbols	alphanum	input latin lowercase	input latin lowercase,abcd,input,latin,letters,lowercase
🔢	Symbols	alphanum	input numbers	input numbers,1234,input,numbers
🔣	Symbols	alphanum	input symbols	input symbols,&,%,♪,〒,input,symbols
🔤	Symbols	alphanum	input latin letters	input latin letters,abc,alphabet,input,latin,letters
🅰️	Symbols	alphanum	A button (blood type)	a button (blood type)
🆎	Symbols	alphanum	AB button (blood type)	ab button (blood type),ab,blood,button,type
🅱️	Symbols	alphanum	B button (blood type)	b button (blood type)
🆑	Symbols	alphanum	CL button	cl button,button,cl
🆒	Symbols	alphanum	COOL button	cool button,button,cool
🆓	Symbols	alphanum	FREE button	free button,button,free
ℹ️	Symbols	alphanum	information	information
🆔	Symbols	alphanum	ID button	id button,button,id,identity
Ⓜ️	Symbols	alphanum	circled M	circled m
🆕	Symbols	alphanum	NEW button	new button,button,new
🆖	Symbols	alphanum	NG button	ng button,button,ng
🅾️	Symbols	alphanum	O button (blood type)	o button (blood type)
🆗	Symbols	alphanum	OK button	ok button,button,ok,okay
🅿️	Symbols	alphanum	P button	p button
🆘	Symbols	alphanum	SOS button	sos button,button,help,sos
🆙	Symbols	alphanum	UP! button	up! button,button,mark,up,up!
🆚	Symbols	alphanum	VS button	vs button,button,versus,vs
🈁	Symbols	alphanum	Japanese “here” button	japanese “here” button,button,here,japanese,katakana
🈂️	Symbols	alphanum	Japanese “service charge” button	japanese “service charge” button
🈷️	Symbols	alphanum	Japanese “monthly amount” button	japanese “monthly amount” button
🈶	Symbols	alphanum	Japanese “not free of charge” button	japanese “not free of charge” button,button,charge,free,ideograph,japanese,not
🈯	Symbols	alphanum	Japanese “reserved” button	japanese “reserved” button,button,ideograph,japanese,reserved
🉐	Symbols	alphanum	Japanese “bargain” button	japanese “bargain” button,bargain,button,ideograph,japanese
🈹	Symbols	alphanum	Japanese “discount” button	japanese “discount” button,button,discount,ideograph,japanese
🈚	Symbols	alphanum	Japanese “free of charge” button	japanese “free of charge” button,button,charge,free,ideograph,japanese
🈲	Symbols	alphanum	Japanese “prohibited” button	japanese “prohibited” button,button,ideograph,japanese,prohibited
🉑	Symbols	alphanum	Japanese “acceptable” button	japanese “acceptable” button,acceptable,button,ideograph,japanese
🈸	Symbols	alphanum	Japanese “application” button	japanese “application” button,application,button,ideograph,japanese
🈴	Symbols	alphanum	Japanese “passing grade” button	japanese “passing grade” button,button,grade,ideograph,japanese,passing
🈳	Symbols	alphanum	Japanese “vacancy” button	japanese “vacancy” button,button,ideograph,japanese,vacancy
㊗️	Symbols	alphanum	Japanese “congratulations” button	japanese “congratulations” button
㊙️	Symbols	alphanum	Japanese “secret” button	japanese “secret” button
🈺	Symbols	alphanum	Japanese “open for business” button	japanese “open for business” button,business,button,ideograph,japanese,open
🈵	Symbols	alphanum	Japanese “no vacancy” button	japanese “no vacancy” button,button,ideograph,japanese,no,vacancy
